token,kind,render_bucket,baseline_line,manuscript_section,source_anchor,baseline_excerpt_norm,baseline_excerpt_sha256,resolution,reason,claim_ids
54,int_small,COMMENTED,140,abstract: Abstract,(before first label),% \textcolor{blue}{\sout{Property value assessments determine how local property-tax burdens are distributed. Assessor o,e072d2832bac1523d164ebc57f080e70e0bc359d35e57a796ddfa997298117e0,NOT_RENDERED,COMMENTED,
88,int_small,COMMENTED,140,abstract: Abstract,(before first label),% \textcolor{blue}{\sout{Property value assessments determine how local property-tax burdens are distributed. Assessor o,e072d2832bac1523d164ebc57f080e70e0bc359d35e57a796ddfa997298117e0,NOT_RENDERED,COMMENTED,
3.5,decimal,COMMENTED,140,abstract: Abstract,(before first label),% \textcolor{blue}{\sout{Property value assessments determine how local property-tax burdens are distributed. Assessor o,e072d2832bac1523d164ebc57f080e70e0bc359d35e57a796ddfa997298117e0,NOT_RENDERED,COMMENTED,
2025,year_like,ACTIVE,145,abstract: Abstract,(before first label),"\latesttext{Machine-learning real estate valuation models can predict property sale prices with high accuracy, while sti",20a41c5dc19fe0c6372b82890002433d490553494ce3df054d6250e295ab4c7e,ALLOWLISTED,DESIGN_CONSTANT,
2016,year_like,ACTIVE,154,section: Introduction,sec:introduction,Property taxes are one of the largest sources of local government revenue in the United States. They help finance public,1f7001bdd2f7082f0451bf4ad355bc18473e3dfd64f2fb74e9cf6e9f549a5406,ALLOWLISTED,DESIGN_CONSTANT,
72,int_small,ACTIVE,154,section: Introduction,sec:introduction,Property taxes are one of the largest sources of local government revenue in the United States. They help finance public,1f7001bdd2f7082f0451bf4ad355bc18473e3dfd64f2fb74e9cf6e9f549a5406,ALLOWLISTED,EXTERNAL_LITERATURE_STATISTIC,
47,int_small,ACTIVE,154,section: Introduction,sec:introduction,Property taxes are one of the largest sources of local government revenue in the United States. They help finance public,1f7001bdd2f7082f0451bf4ad355bc18473e3dfd64f2fb74e9cf6e9f549a5406,ALLOWLISTED,EXTERNAL_LITERATURE_STATISTIC,
500,int_mid,ACTIVE,154,section: Introduction,sec:introduction,Property taxes are one of the largest sources of local government revenue in the United States. They help finance public,1f7001bdd2f7082f0451bf4ad355bc18473e3dfd64f2fb74e9cf6e9f549a5406,ALLOWLISTED,EXTERNAL_LITERATURE_STATISTIC,
90,int_small,COMMENTED,201,section: Introduction,sec:introduction,"% \textcolor{blue}{\sout{Applied to CCAO's residential property-valuation workflow, the proposed methodology substantial",c9a85f460da22dea9e69fec709674dd2cfafd2f2e989dda5d7fd6309ecf15d4f,NOT_RENDERED,COMMENTED,
2016,year_like,COMMENTED,201,section: Introduction,sec:introduction,"% \textcolor{blue}{\sout{Applied to CCAO's residential property-valuation workflow, the proposed methodology substantial",c9a85f460da22dea9e69fec709674dd2cfafd2f2e989dda5d7fd6309ecf15d4f,NOT_RENDERED,COMMENTED,
2024,year_like,COMMENTED,201,section: Introduction,sec:introduction,"% \textcolor{blue}{\sout{Applied to CCAO's residential property-valuation workflow, the proposed methodology substantial",c9a85f460da22dea9e69fec709674dd2cfafd2f2e989dda5d7fd6309ecf15d4f,NOT_RENDERED,COMMENTED,
"344,607",int_ge_1000,COMMENTED,201,section: Introduction,sec:introduction,"% \textcolor{blue}{\sout{Applied to CCAO's residential property-valuation workflow, the proposed methodology substantial",c9a85f460da22dea9e69fec709674dd2cfafd2f2e989dda5d7fd6309ecf15d4f,NOT_RENDERED,COMMENTED,
10,int_small,COMMENTED,201,section: Introduction,sec:introduction,"% \textcolor{blue}{\sout{Applied to CCAO's residential property-valuation workflow, the proposed methodology substantial",c9a85f460da22dea9e69fec709674dd2cfafd2f2e989dda5d7fd6309ecf15d4f,NOT_RENDERED,COMMENTED,
"38,290",int_ge_1000,COMMENTED,201,section: Introduction,sec:introduction,"% \textcolor{blue}{\sout{Applied to CCAO's residential property-valuation workflow, the proposed methodology substantial",c9a85f460da22dea9e69fec709674dd2cfafd2f2e989dda5d7fd6309ecf15d4f,NOT_RENDERED,COMMENTED,
2025,year_like,COMMENTED,201,section: Introduction,sec:introduction,"% \textcolor{blue}{\sout{Applied to CCAO's residential property-valuation workflow, the proposed methodology substantial",c9a85f460da22dea9e69fec709674dd2cfafd2f2e989dda5d7fd6309ecf15d4f,NOT_RENDERED,COMMENTED,
"26,641",int_ge_1000,COMMENTED,201,section: Introduction,sec:introduction,"% \textcolor{blue}{\sout{Applied to CCAO's residential property-valuation workflow, the proposed methodology substantial",c9a85f460da22dea9e69fec709674dd2cfafd2f2e989dda5d7fd6309ecf15d4f,NOT_RENDERED,COMMENTED,
"382,897",int_ge_1000,COMMENTED,201,section: Introduction,sec:introduction,"% \textcolor{blue}{\sout{Applied to CCAO's residential property-valuation workflow, the proposed methodology substantial",c9a85f460da22dea9e69fec709674dd2cfafd2f2e989dda5d7fd6309ecf15d4f,NOT_RENDERED,COMMENTED,
2016,year_like,COMMENTED,201,section: Introduction,sec:introduction,"% \textcolor{blue}{\sout{Applied to CCAO's residential property-valuation workflow, the proposed methodology substantial",c9a85f460da22dea9e69fec709674dd2cfafd2f2e989dda5d7fd6309ecf15d4f,NOT_RENDERED,COMMENTED,
2024,year_like,COMMENTED,201,section: Introduction,sec:introduction,"% \textcolor{blue}{\sout{Applied to CCAO's residential property-valuation workflow, the proposed methodology substantial",c9a85f460da22dea9e69fec709674dd2cfafd2f2e989dda5d7fd6309ecf15d4f,NOT_RENDERED,COMMENTED,
54,int_small,COMMENTED,201,section: Introduction,sec:introduction,"% \textcolor{blue}{\sout{Applied to CCAO's residential property-valuation workflow, the proposed methodology substantial",c9a85f460da22dea9e69fec709674dd2cfafd2f2e989dda5d7fd6309ecf15d4f,NOT_RENDERED,COMMENTED,
88,int_small,COMMENTED,201,section: Introduction,sec:introduction,"% \textcolor{blue}{\sout{Applied to CCAO's residential property-valuation workflow, the proposed methodology substantial",c9a85f460da22dea9e69fec709674dd2cfafd2f2e989dda5d7fd6309ecf15d4f,NOT_RENDERED,COMMENTED,
2,int_small,COMMENTED,201,section: Introduction,sec:introduction,"% \textcolor{blue}{\sout{Applied to CCAO's residential property-valuation workflow, the proposed methodology substantial",c9a85f460da22dea9e69fec709674dd2cfafd2f2e989dda5d7fd6309ecf15d4f,NOT_RENDERED,COMMENTED,
0.885,decimal,COMMENTED,201,section: Introduction,sec:introduction,"% \textcolor{blue}{\sout{Applied to CCAO's residential property-valuation workflow, the proposed methodology substantial",c9a85f460da22dea9e69fec709674dd2cfafd2f2e989dda5d7fd6309ecf15d4f,NOT_RENDERED,COMMENTED,
0.881,decimal,COMMENTED,201,section: Introduction,sec:introduction,"% \textcolor{blue}{\sout{Applied to CCAO's residential property-valuation workflow, the proposed methodology substantial",c9a85f460da22dea9e69fec709674dd2cfafd2f2e989dda5d7fd6309ecf15d4f,NOT_RENDERED,COMMENTED,
3.5,decimal,COMMENTED,201,section: Introduction,sec:introduction,"% \textcolor{blue}{\sout{Applied to CCAO's residential property-valuation workflow, the proposed methodology substantial",c9a85f460da22dea9e69fec709674dd2cfafd2f2e989dda5d7fd6309ecf15d4f,NOT_RENDERED,COMMENTED,
2025,year_like,ACTIVE,203,section: Introduction,sec:introduction,"{In the primary CCAO application, model development and the complete penalty paths are evaluated chronologically within ",beb494e1be2dddb68766ef572d6818b02e905e6293050e4959b16a8d100a1f1a,ALLOWLISTED,DESIGN_CONSTANT,
2,int_small,COMMENTED,225,section: Introduction,sec:introduction,"% $\operatorname{Cov}(\log(\widehat P/P),\log P)^2$",0e1b3de586d7a8527cb753a6af0a7c7f88ab8efbd06d52caf45f11b094a8aaec,NOT_RENDERED,COMMENTED,
2019,year_like,ACTIVE,334,subsection: The CCAO Residential Valuation Workflow,subsec:ccao_workflow,The CCAO values a large and heterogeneous residential inventory on a triennial reassessment cycle \cite{CCAOAssessmentCa,0c0bfb89089da09db51dfecb154d5cdc792657be2eab7ae95dd16607d6a868f3,ALLOWLISTED,DESIGN_CONSTANT,
2020,year_like,ACTIVE,334,subsection: The CCAO Residential Valuation Workflow,subsec:ccao_workflow,The CCAO values a large and heterogeneous residential inventory on a triennial reassessment cycle \cite{CCAOAssessmentCa,0c0bfb89089da09db51dfecb154d5cdc792657be2eab7ae95dd16607d6a868f3,ALLOWLISTED,CITATION_OR_YEAR,
2021,year_like,ACTIVE,334,subsection: The CCAO Residential Valuation Workflow,subsec:ccao_workflow,The CCAO values a large and heterogeneous residential inventory on a triennial reassessment cycle \cite{CCAOAssessmentCa,0c0bfb89089da09db51dfecb154d5cdc792657be2eab7ae95dd16607d6a868f3,ALLOWLISTED,DESIGN_CONSTANT,
0,int_small,COMMENTED,353,subsection: Prediction Setting and Baseline Models,subsec:baseline_models,% \textcolor{blue}{\sout{The variable $P_i>0$ is the verified sale price and serves as the transaction-based benchmark f,5ac82456348beb954dcbae4d63546d4339507da8a8cdaf17d38af265d4501e75,NOT_RENDERED,COMMENTED,
0,int_small,COMMENTED,355,subsection: Prediction Setting and Baseline Models,subsec:baseline_models,% \textcolor{blue}{\sout{The variable $P_i>0$ is the verified sale price and is treated as the observed transaction-base,73cec9d199dc11bbd433a044de3d1c4174ee8540bbc42a078bf9aea6d2384900,NOT_RENDERED,COMMENTED,
1,int_small,COMMENTED,461,"subsection: Predictive, Assessor-Facing, and Residual-Structure Diagnostics",subsec:metrics,"% \textcolor{blue}{\sout{For an evaluation sample $S\subseteq\mathcal{I}$, let $n_S=|S|$, $\bar P_S=n_S^{-1}\sum_{i\in S",2ce5509932c7ac57e703f272d8db1794b291c07efda7528ff2dbb81d0db237fe,NOT_RENDERED,COMMENTED,
1,int_small,COMMENTED,461,"subsection: Predictive, Assessor-Facing, and Residual-Structure Diagnostics",subsec:metrics,"% \textcolor{blue}{\sout{For an evaluation sample $S\subseteq\mathcal{I}$, let $n_S=|S|$, $\bar P_S=n_S^{-1}\sum_{i\in S",2ce5509932c7ac57e703f272d8db1794b291c07efda7528ff2dbb81d0db237fe,NOT_RENDERED,COMMENTED,
2,int_small,COMMENTED,461,"subsection: Predictive, Assessor-Facing, and Residual-Structure Diagnostics",subsec:metrics,"% \textcolor{blue}{\sout{For an evaluation sample $S\subseteq\mathcal{I}$, let $n_S=|S|$, $\bar P_S=n_S^{-1}\sum_{i\in S",2ce5509932c7ac57e703f272d8db1794b291c07efda7528ff2dbb81d0db237fe,NOT_RENDERED,COMMENTED,
2,int_small,COMMENTED,491,"subsection: Predictive, Assessor-Facing, and Residual-Structure Diagnostics",eq:predictive_metrics,"% \textcolor{blue}{\sout{The price-scale MAE gives the average absolute prediction error in dollars, while $R^2_P$ summa",cca513ef25331a7a51a396debd5415f74ae71bdece9689319b82fb287668e2e8,NOT_RENDERED,COMMENTED,
2,int_small,COMMENTED,491,"subsection: Predictive, Assessor-Facing, and Residual-Structure Diagnostics",eq:predictive_metrics,"% \textcolor{blue}{\sout{The price-scale MAE gives the average absolute prediction error in dollars, while $R^2_P$ summa",cca513ef25331a7a51a396debd5415f74ae71bdece9689319b82fb287668e2e8,NOT_RENDERED,COMMENTED,
1,int_small,COMMENTED,493,"subsection: Predictive, Assessor-Facing, and Residual-Structure Diagnostics",eq:predictive_metrics,"% \textcolor{blue}{\sout{The price-scale MAE gives the average absolute prediction error in dollars, while MAPE gives th",e370a5224a43f1b8fb7d115e0033c394172c2cabe806ebb286cb9e42fe224b87,NOT_RENDERED,COMMENTED,
2,int_small,COMMENTED,493,"subsection: Predictive, Assessor-Facing, and Residual-Structure Diagnostics",eq:predictive_metrics,"% \textcolor{blue}{\sout{The price-scale MAE gives the average absolute prediction error in dollars, while MAPE gives th",e370a5224a43f1b8fb7d115e0033c394172c2cabe806ebb286cb9e42fe224b87,NOT_RENDERED,COMMENTED,
2,int_small,COMMENTED,496,"subsection: Predictive, Assessor-Facing, and Residual-Structure Diagnostics",eq:predictive_metrics,% \textcolor{blue}{\sout{Because $R^2_{\log P}$ and $\operatorname{RMSE}_{\log P}$ are driven by the same log-scale sum ,38b6fed13c19d4eaad21d37b12e52205b90e75727c46acdc029b921e0d4ea962,NOT_RENDERED,COMMENTED,
2,int_small,COMMENTED,496,"subsection: Predictive, Assessor-Facing, and Residual-Structure Diagnostics",eq:predictive_metrics,% \textcolor{blue}{\sout{Because $R^2_{\log P}$ and $\operatorname{RMSE}_{\log P}$ are driven by the same log-scale sum ,38b6fed13c19d4eaad21d37b12e52205b90e75727c46acdc029b921e0d4ea962,NOT_RENDERED,COMMENTED,
100,int_mid,COMMENTED,496,"subsection: Predictive, Assessor-Facing, and Residual-Structure Diagnostics",eq:predictive_metrics,% \textcolor{blue}{\sout{Because $R^2_{\log P}$ and $\operatorname{RMSE}_{\log P}$ are driven by the same log-scale sum ,38b6fed13c19d4eaad21d37b12e52205b90e75727c46acdc029b921e0d4ea962,NOT_RENDERED,COMMENTED,
1,int_small,COMMENTED,496,"subsection: Predictive, Assessor-Facing, and Residual-Structure Diagnostics",eq:predictive_metrics,% \textcolor{blue}{\sout{Because $R^2_{\log P}$ and $\operatorname{RMSE}_{\log P}$ are driven by the same log-scale sum ,38b6fed13c19d4eaad21d37b12e52205b90e75727c46acdc029b921e0d4ea962,NOT_RENDERED,COMMENTED,
2,int_small,COMMENTED,497,"subsection: Predictive, Assessor-Facing, and Residual-Structure Diagnostics",eq:predictive_metrics,% \textcolor{impGreen}{We retain $R^2_{\log P}$ only as a supplementary implementation diagnostic. On a fixed evaluation,3cb49c5138074df37387d69d50d14eac61ed231e71794e9f98886ca58a1a1e45,NOT_RENDERED,COMMENTED,
2026,year_like,COMMENTED,559,"subsection: Predictive, Assessor-Facing, and Residual-Structure Diagnostics",eq:cov,% \textcolor{blue}{\sout{Vertical equity concerns whether assessment ratios vary systematically with property value. A r,1c5461cf32c6e04c71270993a8dbf70d8448a25e6d387fdc9f944cceac5ec97e,NOT_RENDERED,COMMENTED,
