claim_id,domain,metric,manuscript_section,latex_label,source_anchor,manuscript_location,baseline_line,render_bucket,baseline_excerpt_norm,baseline_excerpt_sha256,table_row,table_col,artifact_path,artifact_kind,artifact_sha256,scientific_stage,selector,hash_source,raw_value,raw_unit,value_transform,display_unit,rounding_rule,display_value,attained_status,reference_cell,comparison_purpose,primary_or_sensitivity,counting_unit,guidance_status,evidence_note
N-anchor-PRB-Direct-0.0104811313415468-forward_2025,prb,PRB,subsection: What the Final Augmented Regularization Paths Show,tab:path_anchor_summary,tab:path_anchor_summary,L2745|tab:path_anchor_summary|row=Direct rho=0.0104811313415468|col=PRB,2745,ACTIVE,\latesttext{Direct} & \latesttext{$\approx0.01$} & \latesttext{\textbf{0.905}\textsuperscript{*}} & \latesttext{\textbf{,7a2b7d2463f1f70208ef2757b6c7d877a43c80c7469e61f318503d94530fa8ce,Direct rho=0.0104811313415468,PRB,analysis/p1_inferential_reporting/tables/prb_inference.csv,csv,fb7e8f117c7916d0a22f14f4c2e7f00d1e84eceaff63c12a4edd5833f7ef926a,P1_PRB,display_kind=plan_display_anchor;family=Direct;j=;ext_target=;rho=0.0104811313415468;role_label=DISPLAY_ANCHOR;evaluation=forward_2025,RECOMPUTED,-0.1048963687036159,coefficient,identity,coefficient,half_up:3,-0.105,ATTAINED,C,PENALTY_ISOLATING,PRIMARY,NOT_APPLICABLE,IAAO_2013_ADOPTED,"frozen_PRB_value, the value the manuscript displays, reconciled against the canonical PRB function. IAAO 2013 is ADOPTED guidance for PRB."
N-anchor-PRB-Direct-0.0104811313415468-heldout,prb,PRB,subsection: What the Final Augmented Regularization Paths Show,tab:path_anchor_summary,tab:path_anchor_summary,L2721|tab:path_anchor_summary|row=Direct rho=0.0104811313415468|col=PRB,2721,ACTIVE,"\latesttext{Direct} & \latesttext{$\approx0.01$} & \latesttext{0.893} & \latesttext{\$76,058} & \latesttext{21.2\%} & \l",b855abc1524b1db15e1975f2828845b3198c08f133d8f6d51f6092649e16acd7,Direct rho=0.0104811313415468,PRB,analysis/p1_inferential_reporting/tables/prb_inference.csv,csv,fb7e8f117c7916d0a22f14f4c2e7f00d1e84eceaff63c12a4edd5833f7ef926a,P1_PRB,display_kind=plan_display_anchor;family=Direct;j=;ext_target=;rho=0.0104811313415468;role_label=DISPLAY_ANCHOR;evaluation=heldout,RECOMPUTED,-0.08939942647685,coefficient,identity,coefficient,half_up:3,-0.089,ATTAINED,C,PENALTY_ISOLATING,PRIMARY,NOT_APPLICABLE,IAAO_2013_ADOPTED,"frozen_PRB_value, the value the manuscript displays, reconciled against the canonical PRB function. IAAO 2013 is ADOPTED guidance for PRB."
N-anchor-PRB-Direct-0.1-forward_2025,prb,PRB,subsection: What the Final Augmented Regularization Paths Show,tab:path_anchor_summary,tab:path_anchor_summary,L2746|tab:path_anchor_summary|row=Direct rho=0.1|col=PRB,2746,ACTIVE,"Direct & \latesttext{$0.1$} & \textbf{0.906}\textsuperscript{*} & \textbf{\$78,029}\textsuperscript{*} & \latesttext{\te",1c9cb29d27163230611da00379c01370f74e69745104d63be95b073c3848e142,Direct rho=0.1,PRB,analysis/p1_inferential_reporting/tables/prb_inference.csv,csv,fb7e8f117c7916d0a22f14f4c2e7f00d1e84eceaff63c12a4edd5833f7ef926a,P1_PRB,display_kind=plan_display_anchor;family=Direct;j=;ext_target=;rho=0.1;role_label=DISPLAY_ANCHOR;evaluation=forward_2025,RECOMPUTED,-0.1022600762313744,coefficient,identity,coefficient,half_up:3,-0.102,ATTAINED,C,PENALTY_ISOLATING,PRIMARY,NOT_APPLICABLE,IAAO_2013_ADOPTED,"frozen_PRB_value, the value the manuscript displays, reconciled against the canonical PRB function. IAAO 2013 is ADOPTED guidance for PRB."
N-anchor-PRB-Direct-0.1-heldout,prb,PRB,subsection: What the Final Augmented Regularization Paths Show,tab:path_anchor_summary,tab:path_anchor_summary,L2722|tab:path_anchor_summary|row=Direct rho=0.1|col=PRB,2722,ACTIVE,"Direct & \latesttext{$0.1$} & 0.894 & \$76,235 & \latesttext{21.3\%} & \latesttext{0.291} & \textbf{1.068} & \textbf{-0.",8cd7fe74fd956ab04f6bc7d4a10bbd503daacb8d834c0c4446521bbc5a39a914,Direct rho=0.1,PRB,analysis/p1_inferential_reporting/tables/prb_inference.csv,csv,fb7e8f117c7916d0a22f14f4c2e7f00d1e84eceaff63c12a4edd5833f7ef926a,P1_PRB,display_kind=plan_display_anchor;family=Direct;j=;ext_target=;rho=0.1;role_label=DISPLAY_ANCHOR;evaluation=heldout,RECOMPUTED,-0.0877608287199477,coefficient,identity,coefficient,half_up:3,-0.088,ATTAINED,C,PENALTY_ISOLATING,PRIMARY,NOT_APPLICABLE,IAAO_2013_ADOPTED,"frozen_PRB_value, the value the manuscript displays, reconciled against the canonical PRB function. IAAO 2013 is ADOPTED guidance for PRB."
N-anchor-PRB-Direct-0.954095476349994-forward_2025,prb,PRB,subsection: What the Final Augmented Regularization Paths Show,tab:path_anchor_summary,tab:path_anchor_summary,L2747|tab:path_anchor_summary|row=Direct rho=0.954095476349994|col=PRB,2747,ACTIVE,"Direct & \latesttext{$\approx1$} & \textbf{0.910}\textsuperscript{*} & \textbf{\$77,139}\textsuperscript{*} & \latesttex",1b02a8a48bc9d0daa84d0fadda2497346fa97ec5d921fcdce26003fd7103d1d1,Direct rho=0.954095476349994,PRB,analysis/p1_inferential_reporting/tables/prb_inference.csv,csv,fb7e8f117c7916d0a22f14f4c2e7f00d1e84eceaff63c12a4edd5833f7ef926a,P1_PRB,display_kind=plan_display_anchor;family=Direct;j=;ext_target=;rho=0.954095476349994;role_label=DISPLAY_ANCHOR;evaluation=forward_2025,RECOMPUTED,-0.0901234043928837,coefficient,identity,coefficient,half_up:3,-0.090,ATTAINED,C,PENALTY_ISOLATING,PRIMARY,NOT_APPLICABLE,IAAO_2013_ADOPTED,"frozen_PRB_value, the value the manuscript displays, reconciled against the canonical PRB function. IAAO 2013 is ADOPTED guidance for PRB."
N-anchor-PRB-Direct-0.954095476349994-heldout,prb,PRB,subsection: What the Final Augmented Regularization Paths Show,tab:path_anchor_summary,tab:path_anchor_summary,L2723|tab:path_anchor_summary|row=Direct rho=0.954095476349994|col=PRB,2723,ACTIVE,"Direct & \latesttext{$\approx1$} & \textbf{0.899}\textsuperscript{*} & \textbf{\$74,485}\textsuperscript{*} & \latesttex",3cbf8a0c06f3e5295a342989cc0b72b3dd1b8e21851e7d8eaae77e384341003a,Direct rho=0.954095476349994,PRB,analysis/p1_inferential_reporting/tables/prb_inference.csv,csv,fb7e8f117c7916d0a22f14f4c2e7f00d1e84eceaff63c12a4edd5833f7ef926a,P1_PRB,display_kind=plan_display_anchor;family=Direct;j=;ext_target=;rho=0.954095476349994;role_label=DISPLAY_ANCHOR;evaluation=heldout,RECOMPUTED,-0.0754951901599687,coefficient,identity,coefficient,half_up:3,-0.075,ATTAINED,C,PENALTY_ISOLATING,PRIMARY,NOT_APPLICABLE,IAAO_2013_ADOPTED,"frozen_PRB_value, the value the manuscript displays, reconciled against the canonical PRB function. IAAO 2013 is ADOPTED guidance for PRB."
N-anchor-PRB-Direct-10.481131341546853-forward_2025,prb,PRB,subsection: What the Final Augmented Regularization Paths Show,tab:path_anchor_summary,tab:path_anchor_summary,L2748|tab:path_anchor_summary|row=Direct rho=10.481131341546853|col=PRB,2748,ACTIVE,"Direct & \latesttext{$\approx10$} & 0.902 & \$79,187 & \latesttext{20.9\%} & \latesttext{0.281} & \textbf{1.042}\textsup",62ddd3d82e811ced4eccddcc5c34a498daf066035f7aca3d084a0bbf3f3886ac,Direct rho=10.481131341546853,PRB,analysis/p1_inferential_reporting/tables/prb_inference.csv,csv,fb7e8f117c7916d0a22f14f4c2e7f00d1e84eceaff63c12a4edd5833f7ef926a,P1_PRB,display_kind=plan_display_anchor;family=Direct;j=;ext_target=;rho=10.481131341546853;role_label=DISPLAY_ANCHOR;evaluation=forward_2025,RECOMPUTED,-0.0488724449194038,coefficient,identity,coefficient,half_up:3,-0.049,ATTAINED,C,PENALTY_ISOLATING,PRIMARY,NOT_APPLICABLE,IAAO_2013_ADOPTED,"frozen_PRB_value, the value the manuscript displays, reconciled against the canonical PRB function. IAAO 2013 is ADOPTED guidance for PRB."
N-anchor-PRB-Direct-10.481131341546853-heldout,prb,PRB,subsection: What the Final Augmented Regularization Paths Show,tab:path_anchor_summary,tab:path_anchor_summary,L2724|tab:path_anchor_summary|row=Direct rho=10.481131341546853|col=PRB,2724,ACTIVE,"Direct & \latesttext{$\approx10$} & \textbf{0.895}\textsuperscript{*} & \textbf{\$75,218}\textsuperscript{*} & \latestte",21d713bc0673ebffa6095957275a2e6ac87062fc586a102d8a6ab498e64cb246,Direct rho=10.481131341546853,PRB,analysis/p1_inferential_reporting/tables/prb_inference.csv,csv,fb7e8f117c7916d0a22f14f4c2e7f00d1e84eceaff63c12a4edd5833f7ef926a,P1_PRB,display_kind=plan_display_anchor;family=Direct;j=;ext_target=;rho=10.481131341546853;role_label=DISPLAY_ANCHOR;evaluation=heldout,RECOMPUTED,-0.0398625588611695,coefficient,identity,coefficient,half_up:3,-0.040,ATTAINED,C,PENALTY_ISOLATING,PRIMARY,NOT_APPLICABLE,IAAO_2013_ADOPTED,"frozen_PRB_value, the value the manuscript displays, reconciled against the canonical PRB function. IAAO 2013 is ADOPTED guidance for PRB."
N-anchor-PRB-Direct-100.0-forward_2025,prb,PRB,subsection: What the Final Augmented Regularization Paths Show,tab:path_anchor_summary,tab:path_anchor_summary,L2749|tab:path_anchor_summary|row=Direct rho=100.0|col=PRB,2749,ACTIVE,"Direct & 100 & 0.873 & \$89,309 & \latesttext{23.1\%} & \latesttext{0.307} & \textbf{1.036}\textsuperscript{*} & \textbf",b539ae53b630534254fa868553c4b6918f1201f648654f49d24b62e99b431047,Direct rho=100.0,PRB,analysis/p1_inferential_reporting/tables/prb_inference.csv,csv,fb7e8f117c7916d0a22f14f4c2e7f00d1e84eceaff63c12a4edd5833f7ef926a,P1_PRB,display_kind=plan_display_anchor;family=Direct;j=;ext_target=;rho=100.0;role_label=DISPLAY_ANCHOR;evaluation=forward_2025,RECOMPUTED,-0.029017294713712,coefficient,identity,coefficient,half_up:3,-0.029,ATTAINED,C,PENALTY_ISOLATING,PRIMARY,NOT_APPLICABLE,IAAO_2013_ADOPTED,"frozen_PRB_value, the value the manuscript displays, reconciled against the canonical PRB function. IAAO 2013 is ADOPTED guidance for PRB."
N-anchor-PRB-Direct-100.0-heldout,prb,PRB,subsection: What the Final Augmented Regularization Paths Show,tab:path_anchor_summary,tab:path_anchor_summary,L2725|tab:path_anchor_summary|row=Direct rho=100.0|col=PRB,2725,ACTIVE,"Direct & 100 & 0.869 & \$84,918 & \latesttext{23.9\%} & \latesttext{0.325} & \textbf{1.029}\textsuperscript{*} & \textbf",77e79d04008abe160ac303ece0d01847b4a62ad62bf5c056103921a8ececbbc8,Direct rho=100.0,PRB,analysis/p1_inferential_reporting/tables/prb_inference.csv,csv,fb7e8f117c7916d0a22f14f4c2e7f00d1e84eceaff63c12a4edd5833f7ef926a,P1_PRB,display_kind=plan_display_anchor;family=Direct;j=;ext_target=;rho=100.0;role_label=DISPLAY_ANCHOR;evaluation=heldout,RECOMPUTED,-0.0153147615435848,coefficient,identity,coefficient,half_up:3,-0.015,ATTAINED,C,PENALTY_ISOLATING,PRIMARY,NOT_APPLICABLE,IAAO_2013_ADOPTED,"frozen_PRB_value, the value the manuscript displays, reconciled against the canonical PRB function. IAAO 2013 is ADOPTED guidance for PRB."
