realization_key,display_kind,reference_cell,family,role_label,j,ext_target,target,rho,b,attained,match_mode,match_gap,max_achieved_dev_correction,evaluation,evaluation_role,weighting,n,n_unique,PRB,PRB_se_classical,PRB_se_hc1,PRB_se_cluster_rowid,n_clusters,PRB_t,PRB_df,PRB_p,PRB_ci_lo,PRB_ci_hi,iaao_2013_class,canonical_prb_fn,ols_minus_canonical,frozen_PRB_value,frozen_minus_recomputed,source
fit:LGBCovPenalty:1fb838f7d6bfda88,reference_cell,C,Direct,REFERENCE,,,,0.0,,True,exact_anchor,0.0,,fold_1,descriptive,none,5209.0,5209.0,-0.08356747768548556,0.004461269269433384,0.0057797305669463625,,,-18.731771753400412,5207.0,8.075436551792261e-76,-0.09231343776516497,-0.07482151760580615,outside_pm005_but_not_pm010,-0.08356747768542126,-6.429579091360438e-14,-0.0835674776854212,6.938893903907228e-17,output/paper_v6_preselection_994/predictions/data_id=d4929d43ec19badf/split_id=3d464d4a611b131b/fold_id=0/9d3e01b9e2dc2c03.parquet
fit:LGBCovPenalty:1fb838f7d6bfda88,matched_beta_core,,Direct,PRIMARY,0.0,,-0.1382712285432577,0.0,,True,exact_anchor,0.0,,fold_1,descriptive,none,5209.0,5209.0,-0.08356747768548556,0.004461269269433384,0.0057797305669463625,,,-18.731771753400412,5207.0,8.075436551792261e-76,-0.09231343776516497,-0.07482151760580615,outside_pm005_but_not_pm010,-0.08356747768542126,-6.429579091360438e-14,-0.0835674776854212,6.938893903907228e-17,output/paper_v6_preselection_994/predictions/data_id=d4929d43ec19badf/split_id=3d464d4a611b131b/fold_id=0/9d3e01b9e2dc2c03.parquet
fit:LGBCovPenalty:1fb838f7d6bfda88,reference_cell,C,Direct,REFERENCE,,,,0.0,,True,exact_anchor,0.0,,fold_2,descriptive,none,11197.0,11197.0,-0.08101261751388955,0.0032095463063864034,0.0045465593716274184,,,-25.241143071433314,11195.0,9.053234811946197e-137,-0.08730389287081457,-0.07472134215696453,outside_pm005_but_not_pm010,-0.08101261751381583,-7.37188088351104e-14,-0.0810126175138157,1.3877787807814457e-16,output/paper_v6_preselection_994/predictions/data_id=d4929d43ec19badf/split_id=3d464d4a611b131b/fold_id=1/f6d5990c8c05e8f7.parquet
fit:LGBCovPenalty:1fb838f7d6bfda88,matched_beta_core,,Direct,PRIMARY,0.0,,-0.1382712285432577,0.0,,True,exact_anchor,0.0,,fold_2,descriptive,none,11197.0,11197.0,-0.08101261751388955,0.0032095463063864034,0.0045465593716274184,,,-25.241143071433314,11195.0,9.053234811946197e-137,-0.08730389287081457,-0.07472134215696453,outside_pm005_but_not_pm010,-0.08101261751381583,-7.37188088351104e-14,-0.0810126175138157,1.3877787807814457e-16,output/paper_v6_preselection_994/predictions/data_id=d4929d43ec19badf/split_id=3d464d4a611b131b/fold_id=1/f6d5990c8c05e8f7.parquet
fit:LGBCovPenalty:1fb838f7d6bfda88,reference_cell,C,Direct,REFERENCE,,,,0.0,,True,exact_anchor,0.0,,fold_3,descriptive,none,16798.0,16798.0,-0.07963761736694197,0.002543619319661596,0.00372733402562229,,,-31.308779875731165,16796.0,3.4797167477111705e-209,-0.08462337891073685,-0.0746518558231471,outside_pm005_but_not_pm010,-0.07963761736713629,1.9431678488501802e-13,-0.0796376173671363,-1.3877787807814457e-17,output/paper_v6_preselection_994/predictions/data_id=d4929d43ec19badf/split_id=3d464d4a611b131b/fold_id=2/d86ad432fcd86ed4.parquet
fit:LGBCovPenalty:1fb838f7d6bfda88,matched_beta_core,,Direct,PRIMARY,0.0,,-0.1382712285432577,0.0,,True,exact_anchor,0.0,,fold_3,descriptive,none,16798.0,16798.0,-0.07963761736694197,0.002543619319661596,0.00372733402562229,,,-31.308779875731165,16796.0,3.4797167477111705e-209,-0.08462337891073685,-0.0746518558231471,outside_pm005_but_not_pm010,-0.07963761736713629,1.9431678488501802e-13,-0.0796376173671363,-1.3877787807814457e-17,output/paper_v6_preselection_994/predictions/data_id=d4929d43ec19badf/split_id=3d464d4a611b131b/fold_id=2/d86ad432fcd86ed4.parquet
fit:LGBCovPenalty:1fb838f7d6bfda88,reference_cell,C,Direct,REFERENCE,,,,0.0,,True,exact_anchor,0.0,,fold_4,descriptive,none,22323.0,22323.0,-0.07170692151158486,0.002502039042214222,0.0035807393437017913,,,-28.65939351934597,22321.0,1.990452471198553e-177,-0.07661109385260087,-0.06680274917056886,outside_pm005_but_not_pm010,-0.07170692151163814,5.32768273941997e-14,-0.0717069215116381,4.163336342344337e-17,output/paper_v6_preselection_994/predictions/data_id=d4929d43ec19badf/split_id=3d464d4a611b131b/fold_id=3/14ac898e55a1912f.parquet
fit:LGBCovPenalty:1fb838f7d6bfda88,matched_beta_core,,Direct,PRIMARY,0.0,,-0.1382712285432577,0.0,,True,exact_anchor,0.0,,fold_4,descriptive,none,22323.0,22323.0,-0.07170692151158486,0.002502039042214222,0.0035807393437017913,,,-28.65939351934597,22321.0,1.990452471198553e-177,-0.07661109385260087,-0.06680274917056886,outside_pm005_but_not_pm010,-0.07170692151163814,5.32768273941997e-14,-0.0717069215116381,4.163336342344337e-17,output/paper_v6_preselection_994/predictions/data_id=d4929d43ec19badf/split_id=3d464d4a611b131b/fold_id=3/14ac898e55a1912f.parquet
fit:LGBCovPenalty:1fb838f7d6bfda88,reference_cell,C,Direct,REFERENCE,,,,0.0,,True,exact_anchor,0.0,,fold_5,descriptive,none,28053.0,28053.0,-0.07960390521557192,0.002089178294239928,0.003066442110250987,,,-38.1029735159741,28051.0,9.0538672629374e-310,-0.08369879611873056,-0.07550901431241329,outside_pm005_but_not_pm010,-0.0796039052150491,-5.22817900083794e-13,-0.0796039052150491,0.0,output/paper_v6_preselection_994/predictions/data_id=d4929d43ec19badf/split_id=3d464d4a611b131b/fold_id=4/7ecaa45076f922f6.parquet
fit:LGBCovPenalty:1fb838f7d6bfda88,matched_beta_core,,Direct,PRIMARY,0.0,,-0.1382712285432577,0.0,,True,exact_anchor,0.0,,fold_5,descriptive,none,28053.0,28053.0,-0.07960390521557192,0.002089178294239928,0.003066442110250987,,,-38.1029735159741,28051.0,9.0538672629374e-310,-0.08369879611873056,-0.07550901431241329,outside_pm005_but_not_pm010,-0.0796039052150491,-5.22817900083794e-13,-0.0796039052150491,0.0,output/paper_v6_preselection_994/predictions/data_id=d4929d43ec19badf/split_id=3d464d4a611b131b/fold_id=4/7ecaa45076f922f6.parquet
