realization_key,family,rho,b,config_id,reference_cell,s_source,s,s_naive_pooled,s_minus_s_naive,n_appearances,n_unique,unique_rows_multiplicity_1,duplicated_unique_rows,duplicated_appearances,max_multiplicity,sum_weights,max_abs_rowweight_minus_one,mean_u,estimation_evaluations,oos_used_in_estimation
fit:LGBCovPenalty:1fb838f7d6bfda88,Direct,0.0,,1fb838f7d6bfda88,C,dev_oof_row_balanced_D3,1.0623763218826567,1.0603123348147305,0.0020639870679262096,151153,130165,109177,20988,41976,2,130165.0,0.0,0.020877871900483496,fold_1|fold_2|fold_3|fold_4|fold_5|fold_6|fold_7,False
fit:LGBMRegressor:252a25d9c0ce796b,A-native,,,252a25d9c0ce796b,A,dev_oof_row_balanced_D3,1.0623227151201418,1.0604470939794077,0.0018756211407340295,151153,130165,109177,20988,41976,2,130165.0,0.0,0.020867638170114652,fold_1|fold_2|fold_3|fold_4|fold_5|fold_6|fold_7,False
fit:LGBSmoothPenalty:5b7875e55e58ac62,Surrogate,0.0,,5b7875e55e58ac62,,dev_oof_row_balanced_D3,1.0623763218826567,1.0603123348147305,0.0020639870679262096,151153,130165,109177,20988,41976,2,130165.0,0.0,0.020877871900483496,fold_1|fold_2|fold_3|fold_4|fold_5|fold_6|fold_7,False
posthoc:C:b=1.0000000000000002,C-posthoc,,1.0000000000000002,,,dev_oof_row_balanced_D3,1.0623763218826567,1.0603123348147305,0.0020639870679262096,151153,130165,109177,20988,41976,2,130165.0,0.0,0.020877871900483496,fold_1|fold_2|fold_3|fold_4|fold_5|fold_6|fold_7,False
posthoc:A:b=0.9999219431164414,A-posthoc,,0.9999219431164414,,,dev_oof_row_balanced_D3,1.0623354347985632,1.060460275772699,0.0018751590258641038,151153,130165,109177,20988,41976,2,130165.0,0.0,0.020881746797569357,fold_1|fold_2|fold_3|fold_4|fold_5|fold_6|fold_7,False
fit:LGBCovPenalty:2c281c6754e7623b,Direct,0.7196856730011519,,2c281c6754e7623b,,dev_oof_row_balanced_D3,1.0600907473072179,1.0581666847668376,0.0019240625403802447,151153,130165,109177,20988,41976,2,130165.0,0.0,0.01831160872271204,fold_1|fold_2|fold_3|fold_4|fold_5|fold_6|fold_7,False
fit:LGBSmoothPenalty:17a81001ec5284a3,Surrogate,0.1325711365590109,,17a81001ec5284a3,,dev_oof_row_balanced_D3,1.0673476561754591,1.06512371533086,0.0022239408445992037,151153,130165,109177,20988,41976,2,130165.0,0.0,0.02497892720068444,fold_1|fold_2|fold_3|fold_4|fold_5|fold_6|fold_7,False
posthoc:C:b=1.0136711699227623,C-posthoc,,1.0136711699227623,,,dev_oof_row_balanced_D3,1.0602010551302514,1.0580538579435783,0.002147197186673111,151153,130165,109177,20988,41976,2,130165.0,0.0,0.01840697485966207,fold_1|fold_2|fold_3|fold_4|fold_5|fold_6|fold_7,False
posthoc:A:b=1.013592045910285,A-posthoc,,1.013592045910285,,,dev_oof_row_balanced_D3,1.0601574373307152,1.0582008470923012,0.001956590238413991,151153,130165,109177,20988,41976,2,130165.0,0.0,0.018410902731124428,fold_1|fold_2|fold_3|fold_4|fold_5|fold_6|fold_7,False
fit:LGBCovPenalty:66c49831fa352361,Direct,1.6768329368110082,,66c49831fa352361,,dev_oof_row_balanced_D3,1.0586787231634387,1.0563212954347294,0.0023574277287092826,151153,130165,109177,20988,41976,2,130165.0,0.0,0.016216195647089975,fold_1|fold_2|fold_3|fold_4|fold_5|fold_6|fold_7,False
